year,O_D,Team,Tot Pts,RushYds,PassYds,TotYds
2017,defense,Seattle Seahawks,332,1824,3347,5171
2017,defense,New Orleans Saints,326,1787,3597,5384
2017,defense,Los Angeles Rams,329,1957,3475,5432
2017,defense,Washington Redskins,388,2146,3420,5566
2017,defense,Green Bay Packers,384,1793,3789,5582
2017,defense,San Francisco 49ers,383,1861,3764,5625
2017,defense,Detroit Lions,376,1800,3892,5692
2017,defense,New York Giants,388,1933,4038,5971
2017,defense,Tampa Bay Buccaneers,382,1880,4169,6049
2018,defense,Minnesota Vikings,246,1030,2432,3462
2018,defense,Chicago Bears,211,889,2588,3477
2018,defense,Dallas Cowboys,213,1030,2612,3642
2018,defense,San Francisco 49ers,293,1130,2724,3854
2018,defense,Green Bay Packers,267,1352,2555,3907
2018,defense,Detroit Lions,286,1288,2622,3910
2018,defense,Carolina Panthers,282,1060,2861,3921
2018,defense,New Orleans Saints,256,805,3143,3948
2018,defense,Seattle Seahawks,243,1335,2622,3957
2018,defense,Washington Redskins,229,1103,2870,3973
2018,defense,Arizona Cardinals,293,1593,2418,4011
2018,defense,Los Angeles Rams,282,1319,2779,4098
2018,defense,New York Giants,288,1381,2775,4156
2018,defense,Philadelphia Eagles,253,1140,3041,4181
2018,defense,Tampa Bay Buccaneers,338,1284,3017,4301
2018,defense,Atlanta Falcons,307,1361,3003,4364
